"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 28, 2018","468.63","469.40","471.89","461.00","0.94K","-0.16%"
"Jul 27, 2018","469.40","462.40","474.02","456.40","2.10K","1.51%"
"Jul 26, 2018","462.40","472.75","484.90","460.00","2.48K","-2.19%"
"Jul 25, 2018","472.75","479.00","485.41","463.91","3.27K","-1.31%"
"Jul 24, 2018","479.00","450.50","483.50","447.97","5.73K","6.33%"
"Jul 23, 2018","450.50","456.90","470.00","446.54","2.91K","-1.40%"
"Jul 22, 2018","456.90","461.16","472.26","455.00","2.02K","-0.98%"
"Jul 21, 2018","461.44","450.01","469.12","442.00","2.19K","2.54%"
"Jul 20, 2018","450.01","467.10","470.70","441.00","4.18K","-3.66%"
"Jul 19, 2018","467.10","480.70","484.38","463.00","4.19K","-2.83%"
"Jul 18, 2018","480.70","497.17","514.30","470.15","7.18K","-3.47%"
"Jul 17, 2018","498.00","479.45","511.30","465.50","7.35K","3.87%"
"Jul 16, 2018","479.45","448.75","480.05","445.60","7.16K","6.92%"
"Jul 15, 2018","448.41","434.82","454.00","430.50","1.34K","3.13%"
"Jul 14, 2018","434.82","432.15","439.00","428.50","0.77K","0.30%"
"Jul 13, 2018","433.51","430.52","442.38","425.00","5.07K","0.69%"
"Jul 12, 2018","430.52","443.65","445.29","418.94","1.95K","-2.89%"
"Jul 11, 2018","443.34","433.10","447.26","425.62","3.35K","2.68%"
"Jul 10, 2018","431.79","470.83","474.00","430.00","5.67K","-8.29%"
"Jul 09, 2018","470.83","487.52","490.25","469.15","1.87K","-3.42%"
"Jul 08, 2018","487.52","484.00","493.94","481.36","2.90K","0.73%"
"Jul 07, 2018","484.00","469.06","486.00","462.00","1.94K","3.18%"
"Jul 06, 2018","469.06","468.93","474.40","452.38","2.01K","0.03%"
"Jul 05, 2018","468.93","468.00","478.46","460.32","3.06K","0.20%"
"Jul 04, 2018","468.00","461.15","481.81","452.00","3.50K","1.49%"
"Jul 03, 2018","461.15","474.32","486.00","459.23","4.43K","-3.22%"
"Jul 02, 2018","476.48","451.67","481.98","444.59","4.06K","5.16%"
"Jul 01, 2018","453.09","454.30","457.00","443.00","1.66K","0.01%"
"Jun 30, 2018","453.05","434.50","462.00","434.50","3.45K","4.27%"
"Jun 29, 2018","434.50","421.68","441.64","405.00","6.39K","3.21%"
"Jun 28, 2018","421.00","441.10","444.00","416.20","3.11K","-4.56%"
"Jun 27, 2018","441.10","431.39","445.00","421.60","2.54K","2.58%"
"Jun 26, 2018","430.00","458.00","462.61","428.01","4.46K","-6.11%"
"Jun 25, 2018","458.00","453.82","473.00","445.00","4.00K","0.92%"
"Jun 24, 2018","453.82","474.02","476.39","420.67","8.59K","-4.26%"
"Jun 23, 2018","474.02","461.90","480.00","456.09","2.30K","2.63%"
"Jun 22, 2018","461.90","526.82","527.88","451.00","6.79K","-12.02%"
"Jun 21, 2018","525.00","536.00","546.00","521.02","2.82K","-2.33%"
"Jun 20, 2018","537.50","539.33","541.00","516.00","3.81K","-0.28%"
"Jun 19, 2018","539.00","518.00","547.10","513.29","2.84K","4.05%"
"Jun 18, 2018","518.00","497.00","523.91","487.00","2.45K","4.23%"
"Jun 17, 2018","497.00","499.00","506.56","494.95","1.21K","0.16%"
"Jun 16, 2018","496.21","485.50","503.14","484.15","1.69K","2.21%"
"Jun 15, 2018","485.50","519.06","520.00","482.00","5.34K","-6.47%"
"Jun 14, 2018","519.06","475.42","526.26","460.00","6.62K","9.18%"
"Jun 13, 2018","475.42","495.38","502.00","450.19","5.75K","-4.03%"
"Jun 12, 2018","495.38","532.00","537.80","483.43","3.23K","-6.88%"
"Jun 11, 2018","532.00","523.00","534.64","510.00","5.21K","1.41%"
"Jun 10, 2018","524.61","593.27","593.27","503.00","6.87K","-11.60%"
"Jun 09, 2018","593.47","600.00","609.76","590.00","1.16K","-1.09%"
"Jun 08, 2018","600.00","603.00","610.00","594.00","1.84K","-0.50%"
"Jun 07, 2018","603.00","605.94","618.00","598.78","1.56K","-0.23%"
"Jun 06, 2018","604.40","609.17","614.69","592.10","1.78K","-0.78%"
"Jun 05, 2018","609.17","593.03","616.00","573.74","3.52K","2.72%"
"Jun 04, 2018","593.03","621.36","626.46","578.81","3.64K","-4.04%"
"Jun 03, 2018","618.00","594.48","629.60","590.74","3.43K","3.96%"
"Jun 02, 2018","594.48","579.13","600.00","574.13","3.79K","2.65%"
"Jun 01, 2018","579.13","578.91","588.00","564.55","2.69K","-0.04%"
"May 31, 2018","579.37","556.52","586.00","552.69","2.75K","3.79%"
"May 30, 2018","558.19","563.06","586.00","542.00","3.93K","-0.86%"
"May 29, 2018","563.06","514.01","574.00","510.34","6.56K","9.54%"
"May 28, 2018","514.01","569.01","576.77","508.00","6.31K","-9.67%"
"May 27, 2018","569.01","583.00","590.00","557.00","2.24K","-2.38%"
"May 26, 2018","582.86","585.90","607.18","579.31","2.65K","-0.52%"
"May 25, 2018","585.90","600.00","616.60","568.55","4.02K","-2.35%"
