"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2018","30.315","32.286","32.919","29.739","3.87K","-6.11%"
"Dec 20, 2018","32.286","28.844","32.830","28.592","7.04K","11.40%"
"Dec 19, 2018","28.982","29.770","31.350","28.578","8.64K","-2.65%"
"Dec 18, 2018","29.770","29.223","30.135","27.681","5.49K","1.87%"
"Dec 17, 2018","29.223","25.590","30.259","25.564","6.64K","14.20%"
"Dec 16, 2018","25.590","23.571","26.910","23.522","6.85K","8.56%"
"Dec 15, 2018","23.571","23.191","24.134","23.038","2.34K","1.64%"
"Dec 14, 2018","23.191","23.013","23.787","22.500","2.66K","0.77%"
"Dec 13, 2018","23.013","24.125","24.172","22.921","2.02K","-4.61%"
"Dec 12, 2018","24.125","23.448","25.029","23.273","3.48K","2.89%"
"Dec 11, 2018","23.448","24.100","24.510","23.000","1.34K","-2.70%"
"Dec 10, 2018","24.100","25.646","25.918","23.672","2.45K","-6.03%"
"Dec 09, 2018","25.646","24.363","26.642","24.329","2.19K","5.27%"
"Dec 08, 2018","24.363","25.000","26.415","22.929","3.63K","-3.59%"
"Dec 07, 2018","25.270","26.859","26.859","22.374","5.77K","-5.92%"
"Dec 06, 2018","26.859","29.220","30.426","26.324","2.21K","-8.08%"
"Dec 05, 2018","29.220","30.784","31.269","29.120","2.98K","-5.08%"
"Dec 04, 2018","30.784","30.829","32.412","29.908","1.61K","-0.14%"
"Dec 03, 2018","30.829","33.995","33.995","30.156","3.08K","-9.32%"
"Dec 02, 2018","33.995","33.850","35.000","33.234","1.29K","0.43%"
"Dec 01, 2018","33.850","32.238","35.218","31.507","2.60K","5.00%"
"Nov 30, 2018","32.238","33.955","34.179","31.350","2.12K","-5.05%"
"Nov 29, 2018","33.955","34.513","35.713","33.100","3.95K","-1.62%"
"Nov 28, 2018","34.513","31.541","36.336","31.508","7.08K","9.42%"
"Nov 27, 2018","31.541","30.055","32.185","28.954","3.22K","4.94%"
"Nov 26, 2018","30.055","31.622","32.800","28.848","4.52K","-4.96%"
"Nov 25, 2018","31.622","30.150","32.626","27.750","5.43K","4.88%"
"Nov 24, 2018","30.150","32.700","34.080","29.120","5.21K","-8.25%"
"Nov 23, 2018","32.860","31.950","33.756","31.094","2.36K","2.66%"
"Nov 22, 2018","32.010","35.164","35.510","32.010","3.06K","-8.97%"
"Nov 21, 2018","35.164","34.120","35.210","32.247","3.18K","3.06%"
"Nov 20, 2018","34.120","37.488","38.789","31.603","9.81K","-8.98%"
"Nov 19, 2018","37.488","42.568","42.568","36.000","6.82K","-11.94%"
"Nov 18, 2018","42.568","42.462","43.689","42.234","0.84K","0.25%"
"Nov 17, 2018","42.462","42.912","43.062","41.900","1.66K","-1.05%"
"Nov 16, 2018","42.912","44.822","44.822","42.325","1.75K","-4.26%"
"Nov 15, 2018","44.822","44.504","45.697","41.177","3.71K","0.71%"
"Nov 14, 2018","44.504","50.580","51.340","42.100","5.83K","-12.01%"
"Nov 13, 2018","50.580","51.321","51.570","49.727","1.89K","-1.44%"
"Nov 12, 2018","51.321","51.647","51.998","50.567","1.42K","-0.63%"
"Nov 11, 2018","51.647","52.224","52.822","50.100","0.74K","-1.10%"
"Nov 10, 2018","52.224","52.230","53.100","52.034","0.49K","-0.01%"
"Nov 09, 2018","52.230","52.881","53.310","51.680","2.03K","-1.23%"
"Nov 08, 2018","52.881","54.151","54.935","52.661","1.35K","-2.35%"
"Nov 07, 2018","54.151","56.500","56.800","53.306","2.30K","-4.16%"
"Nov 06, 2018","56.500","54.042","56.500","53.840","2.43K","5.32%"
"Nov 05, 2018","53.646","54.492","55.252","53.070","1.61K","-1.55%"
"Nov 04, 2018","54.492","51.427","56.200","50.945","3.57K","5.96%"
"Nov 03, 2018","51.427","52.035","52.035","50.729","0.71K","-1.17%"
"Nov 02, 2018","52.035","50.840","52.200","50.500","1.27K","2.35%"
"Nov 01, 2018","50.840","50.000","50.840","49.727","0.86K","1.68%"
"Oct 31, 2018","50.000","49.205","50.962","48.199","1.36K","1.62%"
"Oct 30, 2018","49.205","49.532","49.900","48.890","1.11K","-0.66%"
"Oct 29, 2018","49.532","52.176","52.360","48.400","1.36K","-5.07%"
"Oct 28, 2018","52.176","52.056","52.661","51.700","0.42K","0.23%"
"Oct 27, 2018","52.056","52.590","52.982","52.000","0.64K","-1.01%"
"Oct 26, 2018","52.590","52.986","53.521","52.300","0.70K","-0.75%"
"Oct 25, 2018","52.986","53.427","53.427","52.617","0.47K","-0.83%"
"Oct 24, 2018","53.427","53.354","53.890","52.901","1.15K","0.14%"
"Oct 23, 2018","53.354","53.130","53.890","52.600","1.35K","0.42%"
"Oct 22, 2018","53.130","53.452","54.128","52.820","1.67K","-0.60%"
"Oct 21, 2018","53.452","54.507","54.859","53.452","1.22K","-1.94%"
"Oct 20, 2018","54.507","53.924","54.692","53.411","0.56K","1.08%"
"Oct 19, 2018","53.924","53.126","54.736","53.126","0.91K","1.50%"
"Oct 18, 2018","53.126","55.500","55.705","53.067","3.84K","-4.28%"
"Oct 17, 2018","55.500","55.887","55.887","54.399","1.56K","-0.69%"
"Oct 16, 2018","55.887","56.657","57.130","54.780","2.68K","-1.36%"
"Oct 15, 2018","56.657","52.728","61.700","52.327","10.09K","7.45%"
"Oct 14, 2018","52.728","53.852","54.300","52.302","1.97K","-2.09%"
